Date,Underlying,Type,Strike,Maturity,Mid,UnderlyingPrice,Rate,Dividend,tau,iv
2024-01-02,UNDER,P,390,2024-06-30,13.92456137663141,400.0,0.02,0.0,0.4931506849315068,0.18253193660042805
2024-01-02,UNDER,C,400,2024-06-30,22.266037745592737,400.0,0.02,0.0,0.4931506849315068,0.18165200458146633
2024-01-02,UNDER,C,410,2024-06-30,18.269291416917888,400.0,0.02,0.0,0.4931506849315068,0.18723302849945056
2024-01-02,UNDER,C,420,2024-06-30,14.968931028003775,400.0,0.02,0.0,0.4931506849315068,0.19269003752820194
2024-01-02,UNDER,C,430,2024-06-30,12.254717953557034,400.0,0.02,0.0,0.4931506849315068,0.19793785292208196
2024-01-02,UNDER,C,440,2024-06-30,10.165049867440578,400.0,0.02,0.0,0.4931506849315068,0.20434149527924883
2024-01-02,UNDER,C,450,2024-06-30,8.37458410848812,400.0,0.02,0.0,0.4931506849315068,0.2095726027494818
2024-01-02,UNDER,C,460,2024-06-30,7.0052094834189935,400.0,0.02,0.0,0.4931506849315068,0.2157383481157683
2024-01-02,UNDER,C,470,2024-06-30,6.033708125844968,400.0,0.02,0.0,0.4931506849315068,0.2236759529523403
2024-01-02,UNDER,C,480,2024-06-30,5.175272443079036,400.0,0.02,0.0,0.4931506849315068,0.2305419223695323
